,fold,model,Accuracy
0,0,CatBoost,0.8025
1,1,CatBoost,0.7825
2,2,CatBoost,0.8075
3,3,CatBoost,0.785
4,4,CatBoost,0.785
5,0,XGBoost,0.7825
6,1,XGBoost,0.78
7,2,XGBoost,0.8075
8,3,XGBoost,0.795
9,4,XGBoost,0.8075
10,0,MostFrequent,0.775
11,1,MostFrequent,0.7375
12,2,MostFrequent,0.77
13,3,MostFrequent,0.755
14,4,MostFrequent,0.795
15,0,KNN,0.8
16,1,KNN,0.7775
17,2,KNN,0.8025
18,3,KNN,0.7675
19,4,KNN,0.79
20,0,NaiveBayes,0.7925
21,1,NaiveBayes,0.7675
22,2,NaiveBayes,0.82
23,3,NaiveBayes,0.75
24,4,NaiveBayes,0.7925
25,0,RandomForest,0.7925
26,1,RandomForest,0.7775
27,2,RandomForest,0.81
28,3,RandomForest,0.7975
29,4,RandomForest,0.815
30,0,LogRegression,0.8025
31,1,LogRegression,0.7875
32,2,LogRegression,0.81
33,3,LogRegression,0.78
34,4,LogRegression,0.815
35,0,DecisionTree,0.79
36,1,DecisionTree,0.7875
37,2,DecisionTree,0.795
38,3,DecisionTree,0.7675
39,4,DecisionTree,0.79
40,0,FormalConcept,0.775
41,1,FormalConcept,0.7375
42,2,FormalConcept,0.77
43,3,FormalConcept,0.755
44,4,FormalConcept,0.795
