,fold,model,Accuracy
0,0,CatBoost,0.91
1,1,CatBoost,0.9125
2,2,CatBoost,0.9
3,3,CatBoost,0.92
4,4,CatBoost,0.92
5,0,XGBoost,0.885
6,1,XGBoost,0.9125
7,2,XGBoost,0.9025
8,3,XGBoost,0.89
9,4,XGBoost,0.915
10,0,MostFrequent,0.8925
11,1,MostFrequent,0.88
12,2,MostFrequent,0.875
13,3,MostFrequent,0.875
14,4,MostFrequent,0.8775
15,0,KNN,0.8925
16,1,KNN,0.875
17,2,KNN,0.88
18,3,KNN,0.895
19,4,KNN,0.895
20,0,NaiveBayes,0.8675
21,1,NaiveBayes,0.8775
22,2,NaiveBayes,0.88
23,3,NaiveBayes,0.85
24,4,NaiveBayes,0.8725
25,0,RandomForest,0.905
26,1,RandomForest,0.9075
27,2,RandomForest,0.9225
28,3,RandomForest,0.9125
29,4,RandomForest,0.9125
30,0,LogRegression,0.8875
31,1,LogRegression,0.8825
32,2,LogRegression,0.885
33,3,LogRegression,0.875
34,4,LogRegression,0.9
35,0,DecisionTree,0.915
36,1,DecisionTree,0.905
37,2,DecisionTree,0.9225
38,3,DecisionTree,0.9125
39,4,DecisionTree,0.91
40,0,FormalConcept,0.8925
41,1,FormalConcept,0.88
42,2,FormalConcept,0.875
43,3,FormalConcept,0.875
44,4,FormalConcept,0.8775
